CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST000241,131,3,375.76,2,1,2,212,Dormant
CUST000242,219,5,581.84,1,2,3,123,At Risk
CUST000243,238,5,432.39,1,2,2,122,At Risk
CUST000244,227,5,548.45,1,2,3,123,At Risk
CUST000245,365,5,681.3499999999999,1,2,4,124,At Risk
CUST000246,36,6,678.92,4,3,4,434,Champions
CUST000247,17,5,578.02,4,2,3,423,Potential Loyalists
CUST000248,125,5,442.52,2,2,2,222,Need Attention
CUST000249,99,6,372.13,3,3,2,332,Potential Loyalists
CUST000250,126,1,143.67,2,1,1,211,Dormant
CUST000251,205,4,442.09000000000003,2,2,2,222,Need Attention
CUST000252,212,4,350.73,2,2,2,222,Need Attention
CUST000253,46,6,656.31,3,3,3,333,Champions
CUST000254,376,6,421.62,1,3,2,132,At Risk
CUST000255,237,4,399.65,1,2,2,122,At Risk
CUST000256,10,8,758.01,4,4,4,444,Champions
CUST000257,109,4,393.48,3,2,2,322,Potential Loyalists
CUST000258,10,3,416.32,4,1,2,412,Dormant
CUST000259,628,1,84.97,1,1,1,111,Lost
CUST000260,189,2,136.09,2,1,1,211,Dormant
CUST000261,46,4,474.99,3,2,2,322,Potential Loyalists
CUST000262,164,5,379.76,2,2,2,222,Need Attention
CUST000263,138,4,457.38000000000005,2,2,2,222,Need Attention
CUST000264,239,7,664.47,1,4,4,144,Loyal Customers
CUST000265,100,3,233.49,3,1,1,311,Dormant
CUST000266,2,4,314.47999999999996,4,2,1,421,Need Attention
CUST000267,296,2,183.25,1,1,1,111,Lost
CUST000268,6,5,588.49,4,2,3,423,Potential Loyalists
CUST000269,253,4,562.95,1,2,3,123,At Risk
CUST000270,263,3,253.17,1,1,1,111,Lost
CUST000271,223,11,1402.62,1,4,4,144,Loyal Customers
CUST000272,3,7,580.8,4,4,3,443,Champions
CUST000273,17,8,775.5,4,4,4,444,Champions
CUST000274,10,4,362.18,4,2,2,422,Potential Loyalists
CUST000275,155,3,297.98,2,1,1,211,Dormant
CUST000276,100,8,813.5699999999999,3,4,4,344,Champions
CUST000277,767,1,90.97,1,1,1,111,Lost
CUST000278,185,2,241.79000000000002,2,1,1,211,Dormant
CUST000279,339,5,621.42,1,2,3,123,At Risk
CUST000280,24,5,353.52,4,2,2,422,Potential Loyalists
CUST000281,86,4,651.1,3,2,3,323,Potential Loyalists
CUST000282,12,6,626.98,4,3,3,433,Champions
CUST000283,183,5,449.11,2,2,2,222,Need Attention
CUST000284,37,7,688.02,4,4,4,444,Champions
CUST000285,18,6,773.99,4,3,4,434,Champions
CUST000286,70,4,422.6,3,2,2,322,Potential Loyalists
CUST000287,309,6,669.34,1,3,4,134,Loyal Customers
CUST000288,126,8,1089.3899999999999,2,4,4,244,Loyal Customers
CUST000289,70,4,457.4,3,2,2,322,Potential Loyalists
CUST000290,215,5,529.9100000000001,2,2,3,223,Need Attention
CUST000291,44,7,616.17,4,4,3,443,Champions
CUST000292,195,4,295.66,2,2,1,221,Need Attention
CUST000293,54,1,96.04,3,1,1,311,Dormant
CUST000294,26,8,788.73,4,4,4,444,Champions
CUST000295,30,7,907.9,4,4,4,444,Champions
CUST000296,178,5,527.5699999999999,2,2,3,223,Need Attention
CUST000297,29,3,297.56,4,1,1,411,Dormant
CUST000298,77,8,807.8,3,4,4,344,Champions
CUST000299,66,4,375.55,3,2,2,322,Potential Loyalists
CUST000300,178,2,314.2,2,1,1,211,Dormant
CUST000301,9,4,368.59000000000003,4,2,2,422,Potential Loyalists
CUST000302,265,4,390.64,1,2,2,122,At Risk
CUST000303,96,2,178.72,3,1,1,311,Dormant
CUST000304,3,10,821.72,4,4,4,444,Champions
CUST000305,50,8,749.98,3,4,4,344,Champions
CUST000306,5,6,583.39,4,3,3,433,Champions
CUST000307,30,6,541.25,4,3,3,433,Champions
CUST000308,19,9,976.4,4,4,4,444,Champions
CUST000309,155,4,386.45000000000005,2,2,2,222,Need Attention
CUST000310,202,8,969.3499999999999,2,4,4,244,Loyal Customers
CUST000311,158,6,772.28,2,3,4,234,Loyal Customers
CUST000312,137,3,182.75,2,1,1,211,Dormant
CUST000313,60,4,348.24,3,2,2,322,Potential Loyalists
CUST000314,264,4,408.86,1,2,2,122,At Risk
CUST000315,268,8,743.78,1,4,4,144,Loyal Customers
CUST000316,25,7,776.22,4,4,4,444,Champions
CUST000317,115,3,234.63,2,1,1,211,Dormant
CUST000318,146,4,326.05,2,2,1,221,Need Attention
CUST000319,106,7,637.52,3,4,3,343,Champions
CUST000320,214,5,542.47,2,2,3,223,Need Attention
CUST000321,521,3,192.51999999999998,1,1,1,111,Lost
CUST000322,57,10,1024.96,3,4,4,344,Champions
CUST000323,64,7,784.98,3,4,4,344,Champions
CUST000324,209,5,356.36,2,2,2,222,Need Attention
CUST000325,193,7,857.51,2,4,4,244,Loyal Customers
CUST000327,8,10,835.3199999999999,4,4,4,444,Champions
CUST000328,134,7,770.58,2,4,4,244,Loyal Customers
CUST000329,274,4,337.48,1,2,2,122,At Risk
CUST000330,174,4,396.09000000000003,2,2,2,222,Need Attention
CUST000331,236,2,163.24,1,1,1,111,Lost
CUST000332,213,6,554.64,2,3,3,233,Loyal Customers
CUST000333,121,4,579.42,2,2,3,223,Need Attention
CUST000334,131,3,228.51,2,1,1,211,Dormant
CUST000335,398,2,211.04000000000002,1,1,1,111,Lost
CUST000336,86,6,622.53,3,3,3,333,Champions
CUST000337,223,6,520.23,1,3,3,133,Loyal Customers
CUST000338,58,8,827.1,3,4,4,344,Champions
CUST000339,212,2,182.12,2,1,1,211,Dormant
CUST000340,439,3,269.71,1,1,1,111,Lost
CUST000341,176,4,617.07,2,2,3,223,Need Attention
CUST000342,145,6,597.75,2,3,3,233,Loyal Customers
CUST000343,123,4,419.77,2,2,2,222,Need Attention
CUST000344,125,3,272.5,2,1,1,211,Dormant
CUST000345,9,9,858.8,4,4,4,444,Champions
CUST000346,212,2,176.45,2,1,1,211,Dormant
CUST000347,172,5,505.83000000000004,2,2,3,223,Need Attention
CUST000348,107,8,785.7,3,4,4,344,Champions
CUST000349,54,8,755.24,3,4,4,344,Champions
CUST000350,22,12,1200.5,4,4,4,444,Champions
CUST000351,73,4,359.14,3,2,2,322,Potential Loyalists
CUST000352,22,4,435.6,4,2,2,422,Potential Loyalists
CUST000353,98,7,890.0,3,4,4,344,Champions
CUST000354,55,8,592.48,3,4,3,343,Champions
CUST000355,42,5,765.14,4,2,4,424,Potential Loyalists
CUST000356,393,3,263.95,1,1,1,111,Lost
CUST000357,82,7,914.5,3,4,4,344,Champions
CUST000358,12,6,659.8199999999999,4,3,3,433,Champions
CUST000359,242,5,665.79,1,2,4,124,At Risk
CUST000360,118,8,921.26,2,4,4,244,Loyal Customers
CUST000361,379,5,756.5699999999999,1,2,4,124,At Risk
CUST000362,48,6,670.69,3,3,4,334,Champions
CUST000363,66,2,192.39,3,1,1,311,Dormant
CUST000364,94,8,922.55,3,4,4,344,Champions
CUST000365,317,2,194.44,1,1,1,111,Lost
CUST000366,127,10,1015.39,2,4,4,244,Loyal Customers
CUST000367,25,2,207.26999999999998,4,1,1,411,Dormant
CUST000368,42,5,627.79,4,2,3,423,Potential Loyalists
CUST000369,667,1,83.46,1,1,1,111,Lost
CUST000370,68,3,202.73000000000002,3,1,1,311,Dormant
CUST000371,166,7,1001.8,2,4,4,244,Loyal Customers
CUST000372,192,3,316.38,2,1,1,211,Dormant
CUST000373,21,4,592.51,4,2,3,423,Potential Loyalists
CUST000374,104,7,770.3,3,4,4,344,Champions
CUST000375,49,7,610.12,3,4,3,343,Champions
CUST000376,248,5,647.08,1,2,3,123,At Risk
CUST000377,114,6,598.3199999999999,2,3,3,233,Loyal Customers
CUST000378,147,6,538.83,2,3,3,233,Loyal Customers
CUST000379,333,4,411.15,1,2,2,122,At Risk
CUST000380,209,7,931.34,2,4,4,244,Loyal Customers
CUST000381,45,6,622.15,4,3,3,433,Champions
CUST000382,268,6,544.64,1,3,3,133,Loyal Customers
CUST000383,206,7,745.86,2,4,4,244,Loyal Customers
CUST000384,301,4,405.13,1,2,2,122,At Risk
CUST000385,195,3,342.19,2,1,2,212,Dormant
CUST000386,338,3,265.47,1,1,1,111,Lost
CUST000387,211,4,482.0,2,2,2,222,Need Attention
CUST000388,161,6,553.03,2,3,3,233,Loyal Customers
CUST000389,100,4,395.62,3,2,2,322,Potential Loyalists
CUST000390,69,8,690.19,3,4,4,344,Champions
CUST000391,5,9,853.78,4,4,4,444,Champions
CUST000392,28,4,447.43,4,2,2,422,Potential Loyalists
CUST000393,75,2,254.51999999999998,3,1,1,311,Dormant
CUST000395,41,4,395.53000000000003,4,2,2,422,Potential Loyalists
CUST000396,173,7,654.49,2,4,3,243,Loyal Customers
CUST000397,152,5,594.71,2,2,3,223,Need Attention
CUST000398,297,2,233.74,1,1,1,111,Lost
CUST000399,296,5,662.19,1,2,4,124,At Risk
CUST000400,603,4,398.63,1,2,2,122,At Risk
CUST000401,40,5,582.75,4,2,3,423,Potential Loyalists
CUST000402,83,5,477.72,3,2,2,322,Potential Loyalists
CUST000403,27,8,957.66,4,4,4,444,Champions
CUST000404,12,3,244.98,4,1,1,411,Dormant
CUST000405,10,4,353.65999999999997,4,2,2,422,Potential Loyalists
CUST000406,237,6,748.76,1,3,4,134,Loyal Customers
CUST000407,358,3,310.72,1,1,1,111,Lost
CUST000408,163,4,450.55,2,2,2,222,Need Attention
CUST000409,169,5,516.53,2,2,3,223,Need Attention
CUST000410,262,6,637.85,1,3,3,133,Loyal Customers
CUST000411,157,5,467.75,2,2,2,222,Need Attention
CUST000412,184,3,292.90999999999997,2,1,1,211,Dormant
CUST000413,16,3,390.75,4,1,2,412,Dormant
CUST000414,49,7,748.16,3,4,4,344,Champions
CUST000415,32,4,508.57,4,2,3,423,Potential Loyalists
CUST000416,345,4,397.15,1,2,2,122,At Risk
CUST000417,274,6,722.13,1,3,4,134,Loyal Customers
CUST000418,254,4,355.76,1,2,2,122,At Risk
CUST000419,9,4,424.94,4,2,2,422,Potential Loyalists
CUST000420,229,5,517.4,1,2,3,123,At Risk
CUST000421,92,7,759.6,3,4,4,344,Champions
CUST000422,69,9,968.8399999999999,3,4,4,344,Champions
CUST000423,78,6,731.79,3,3,4,334,Champions
CUST000424,296,2,224.7,1,1,1,111,Lost
CUST000425,76,5,497.12,3,2,3,323,Potential Loyalists
CUST000426,97,7,700.28,3,4,4,344,Champions
CUST000427,33,7,779.53,4,4,4,444,Champions
CUST000428,251,3,235.13,1,1,1,111,Lost
CUST000429,253,6,713.42,1,3,4,134,Loyal Customers
CUST000430,120,6,593.6,2,3,3,233,Loyal Customers
CUST000431,274,2,188.13,1,1,1,111,Lost
CUST000432,306,4,310.0,1,2,1,121,Lost
CUST000433,46,7,804.43,3,4,4,344,Champions
CUST000434,46,6,514.6,3,3,3,333,Champions
CUST000435,325,4,430.42,1,2,2,122,At Risk
CUST000436,14,4,304.46,4,2,1,421,Need Attention
CUST000437,5,8,793.88,4,4,4,444,Champions
CUST000438,31,6,682.5899999999999,4,3,4,434,Champions
CUST000439,132,7,627.77,2,4,3,243,Loyal Customers
CUST000440,27,5,488.63,4,2,2,422,Potential Loyalists
CUST000441,307,4,464.22,1,2,2,122,At Risk
CUST000442,4,11,1179.49,4,4,4,444,Champions
CUST000443,68,4,340.78,3,2,2,322,Potential Loyalists
CUST000444,193,6,709.91,2,3,4,234,Loyal Customers
CUST000445,234,5,531.44,1,2,3,123,At Risk
CUST000446,166,5,484.94,2,2,2,222,Need Attention
CUST000447,3,5,595.22,4,2,3,423,Potential Loyalists
CUST000448,156,5,484.84000000000003,2,2,2,222,Need Attention
CUST000449,88,5,504.33000000000004,3,2,3,323,Potential Loyalists
CUST000450,397,4,289.77,1,2,1,121,Lost
CUST000451,198,4,428.75,2,2,2,222,Need Attention
CUST000452,130,6,545.62,2,3,3,233,Loyal Customers
CUST000453,33,10,1163.1,4,4,4,444,Champions
CUST000454,159,1,71.12,2,1,1,211,Dormant
CUST000455,81,6,527.78,3,3,3,333,Champions
CUST000456,252,4,279.38,1,2,1,121,Lost
CUST000457,23,10,1116.29,4,4,4,444,Champions
CUST000458,21,6,733.47,4,3,4,434,Champions
CUST000459,16,6,530.7,4,3,3,433,Champions
CUST000460,530,2,122.17,1,1,1,111,Lost
CUST000461,125,3,305.65999999999997,2,1,1,211,Dormant
CUST000462,39,6,614.25,4,3,3,433,Champions
CUST000463,156,4,422.97,2,2,2,222,Need Attention
CUST000464,351,4,434.68,1,2,2,122,At Risk
CUST000465,76,4,433.94,3,2,2,322,Potential Loyalists
CUST000466,216,4,384.35,2,2,2,222,Need Attention
CUST000467,95,7,677.66,3,4,4,344,Champions
CUST000468,117,5,592.76,2,2,3,223,Need Attention
CUST000469,247,3,297.0,1,1,1,111,Lost
CUST000470,37,6,581.77,4,3,3,433,Champions
CUST000471,19,3,377.85999999999996,4,1,2,412,Dormant
CUST000472,150,8,804.19,2,4,4,244,Loyal Customers
CUST000473,129,9,908.04,2,4,4,244,Loyal Customers
CUST000474,88,10,1027.59,3,4,4,344,Champions
CUST000475,28,9,1013.0,4,4,4,444,Champions
CUST000476,527,2,260.76,1,1,1,111,Lost
CUST000477,21,8,1046.2,4,4,4,444,Champions
CUST000478,10,5,540.3,4,2,3,423,Potential Loyalists
CUST000479,67,5,707.88,3,2,4,324,Potential Loyalists
CUST000480,213,6,519.39,2,3,3,233,Loyal Customers
CUST000481,193,4,416.86,2,2,2,222,Need Attention
CUST000483,51,6,502.74,3,3,3,333,Champions
CUST000484,71,5,612.9300000000001,3,2,3,323,Potential Loyalists
CUST000485,154,3,286.56,2,1,1,211,Dormant
CUST000486,229,4,369.38,1,2,2,122,At Risk
CUST000487,272,3,363.12,1,1,2,112,Lost
CUST000488,343,3,331.92,1,1,1,111,Lost
CUST000489,16,5,439.57,4,2,2,422,Potential Loyalists
CUST000490,664,2,208.17000000000002,1,1,1,111,Lost
CUST000491,309,5,495.79,1,2,3,123,At Risk
CUST000492,444,4,331.45000000000005,1,2,1,121,Lost
